year_month,person_or_corporation,state_brazil,default_rate
2005-01-01,P,AL,7.47
2005-01-01,P,AP,4.40
2005-01-01,P,AM,6.62
2005-01-01,P,BA,7.81
2005-01-01,P,CE,9.54
2005-01-01,P,DF,4.87
2005-01-01,P,ES,5.03
2005-01-01,P,GO,3.26
2005-01-01,P,MA,11.06
2005-01-01,P,MT,2.50
2005-01-01,P,MS,2.20
2005-01-01,P,MG,4.43
2005-01-01,P,PA,6.09
2005-01-01,P,PB,6.77
2005-01-01,P,PR,2.65
2005-01-01,P,PE,10.06
2005-01-01,P,PI,9.28
2005-01-01,P,RJ,6.30
2005-01-01,P,RN,6.30
2005-01-01,P,RS,3.06
2005-01-01,P,RO,4.00
2005-01-01,P,RR,7.86
2005-01-01,P,SC,2.90
2005-01-01,P,SP,4.48
2005-01-01,P,SE,8.78
2005-01-01,P,TO,4.75
2005-02-01,P,AC,4.47
2005-02-01,P,AL,7.37
2005-02-01,P,AP,4.51
2005-02-01,P,AM,6.22
2005-02-01,P,BA,7.83
2005-02-01,P,CE,9.26
2005-02-01,P,DF,4.86
2005-02-01,P,ES,4.96
2005-02-01,P,GO,3.28
2005-02-01,P,MA,10.77
2005-02-01,P,MT,2.61
2005-02-01,P,MS,2.25
2005-02-01,P,MG,4.41
2005-02-01,P,PA,6.06
2005-02-01,P,PB,6.54
2005-02-01,P,PR,2.71
2005-02-01,P,PE,9.65
2005-02-01,P,PI,8.99
2005-02-01,P,RJ,6.14
2005-02-01,P,RN,6.14
2005-02-01,P,RS,3.08
2005-02-01,P,RO,4.09
2005-02-01,P,RR,7.73
2005-02-01,P,SC,2.92
2005-02-01,P,SP,4.47
2005-02-01,P,SE,8.81
2005-02-01,P,TO,4.76
2005-03-01,P,AC,4.22
2005-03-01,P,AL,7.44
2005-03-01,P,AP,4.23
2005-03-01,P,AM,6.31
2005-03-01,P,BA,7.85
2005-03-01,P,CE,9.20
2005-03-01,P,DF,4.94
2005-03-01,P,ES,4.92
2005-03-01,P,GO,3.27
2005-03-01,P,MA,10.59
2005-03-01,P,MT,2.66
2005-03-01,P,MS,2.30
2005-03-01,P,MG,4.38
2005-03-01,P,PA,6.08
2005-03-01,P,PB,6.49
2005-03-01,P,PR,2.83
2005-03-01,P,PE,9.32
2005-03-01,P,PI,8.61
2005-03-01,P,RJ,6.27
2005-03-01,P,RN,6.13
2005-03-01,P,RS,3.11
2005-03-01,P,RO,4.17
2005-03-01,P,RR,7.50
2005-03-01,P,SC,3.01
2005-03-01,P,SP,4.47
2005-03-01,P,SE,8.80
2005-03-01,P,TO,5.00
2005-04-01,P,AC,3.93
2005-04-01,P,AL,8.19
2005-04-01,P,AP,4.03
2005-04-01,P,AM,6.29
2005-04-01,P,BA,9.66
2005-04-01,P,CE,9.77
2005-04-01,P,DF,5.02
2005-04-01,P,ES,4.93
2005-04-01,P,GO,3.36
2005-04-01,P,MA,10.43
2005-04-01,P,MT,2.75
2005-04-01,P,MS,2.28
2005-04-01,P,MG,4.56
2005-04-01,P,PA,6.01
2005-04-01,P,PB,7.61
2005-04-01,P,PR,2.83
2005-04-01,P,PE,10.27
2005-04-01,P,PI,11.63
2005-04-01,P,RJ,6.30
2005-04-01,P,RN,6.37
2005-04-01,P,RS,2.99
2005-04-01,P,RO,4.06
2005-04-01,P,RR,7.50
2005-04-01,P,SC,2.93
2005-04-01,P,SP,4.51
2005-04-01,P,SE,9.10
2005-04-01,P,TO,5.11
2005-05-01,P,AC,4.22
2005-05-01,P,AL,7.48
2005-05-01,P,AP,4.10
2005-05-01,P,AM,6.54
2005-05-01,P,BA,8.53
2005-05-01,P,CE,9.10
2005-05-01,P,DF,5.23
2005-05-01,P,ES,4.87
2005-05-01,P,GO,3.54
2005-05-01,P,MA,10.27
2005-05-01,P,MT,2.95
2005-05-01,P,MS,2.36
2005-05-01,P,MG,4.63
2005-05-01,P,PA,6.16
2005-05-01,P,PB,6.51
2005-05-01,P,PR,2.92
2005-05-01,P,PE,9.34
2005-05-01,P,PI,8.47
2005-05-01,P,RJ,6.52
2005-05-01,P,RN,6.18
2005-05-01,P,RS,3.04
2005-05-01,P,RO,4.17
2005-05-01,P,RR,7.77
2005-05-01,P,SC,2.98
2005-05-01,P,SP,4.67
2005-05-01,P,SE,8.71
2005-05-01,P,TO,5.30
2005-06-01,P,AC,4.01
2005-06-01,P,AL,7.26
2005-06-01,P,AP,4.00
2005-06-01,P,AM,6.44
2005-06-01,P,BA,8.10
2005-06-01,P,CE,8.53
2005-06-01,P,DF,5.10
2005-06-01,P,ES,4.61
2005-06-01,P,GO,3.41
2005-06-01,P,MA,9.75
2005-06-01,P,MT,2.93
2005-06-01,P,MS,2.41
2005-06-01,P,MG,4.44
2005-06-01,P,PA,5.97
2005-06-01,P,PB,6.12
2005-06-01,P,PR,2.87
2005-06-01,P,PE,9.01
2005-06-01,P,PI,7.66
2005-06-01,P,RJ,6.51
2005-06-01,P,RN,5.80
2005-06-01,P,RS,2.93
2005-06-01,P,RO,3.77
2005-06-01,P,RR,7.91
2005-06-01,P,SC,2.94
2005-06-01,P,SP,4.52
2005-06-01,P,SE,8.18
2005-06-01,P,TO,4.78
